ICAO,flight_count,Name
ISR,235,Israir Airlines
FRF,234,Fleet Air International
DFI,232,
BPO,231,Bundespolizei-Fliegergruppe
AYJ,230,Zeman Nextgen
JDI,220,Jet Story
DHD,217,
LIL,217,Fly Lili
FRO,216,FROST Air
OKP,215,Okapi Airways
HBF,212,
DCW,207,DC Aviation
GTI,207,Atlas Air
BNI,203,Bartolini Air
DIO,202,
TMT,202,Titan Airways Malta
DCU,199,DC Aviation San Marino
BFD,198,Bertelsmann AG
DEB,196,Debonair Airways
RRR,195,RAF-HQSTC (Air Transport)
DIH,194,
PTO,193,Pilot Training Network
ELG,193,Elangeni
MHV,192,MHS Aviation
HVN,188,Vietnam Airlines
LWG,188,Luxwing
NOS,187,Neos
BVR,186,ACM Air Charter
DET,185,Delta Aviation
DEL,184,Delta Air Regionalflugverkhr
BRJ,182,Bairline
CMB,181,U.S. Transportation Command
N70,180,
MOZ,179,SalzburgJetAviation
JFL,177,Jetfly Airlines
DED,176,
KAY,176,K5-Aviation
DEV,174,Red Devils Parachute Display Team
ABP,173,ABS Jets
DTR,170,DAT
MAB,169,Airborne LiDAR Mapping
DIW,169,
SAH,168,Smart Jet
N60,167,
DCH,167,DC Aviation Switzerland
LXG,166,Luxaviation Germany
AGR,166,ASL
TGZ,165,Georgian Airways
DFU,165,
JAR,165,Airlink
MDF,163,Swiftair Hellas
PJV,163,Premium Jet
AAB,163,Luxaviation Belgium
SPA,162,Sierra Pacific Airlines
DBA,160,Air Alpha
UAG,160,Union Aviation
EXS,160,Jet2.com
JSG,156,B. J. Aviation
DBJ,155,Duchess Of Brittany
DAH,155,Air Algerie
DFH,154,
CKK,153,China Cargo Airlines
OYT,153,
JBD,151,Jet Aviation Business Jets Deutschland
HBL,150,HKJ Bermuda
MYX,147,Smartlynx Airlines Estonia
DFF,146,
SUA,146,Silesia Air
BBD,145,Bluebird Cargo
N78,142,
DAA,142,Decatur Aviation
SEK,142,Star East Airline
FCA,142,Fly-Coop
AMQ,141,AMC Aviation
DEZ,140,
RHH,133,Redstar Aviation
OEE,133,
LBT,132,Nouvelair Tunisie
DEA,131,Delta Aerotaxi
RAM,131,Royal Air Maroc
TOY,128,Toyo Aviation
DHA,127,DHL Air (Austria)
N12,126,
NMA,126,Nesma Airlines
DIQ,125,
MEA,124,MEA
SVW,123,Global Jet Luxembourg
DFA,122,Aero Coach Aviation International
OKC,121,Private Jets
CES,121,China Eastern Airlines
GES,120,Gestair
N18,120,
XRO,120,Exxaero
BOH,120,Air Bohemia
BBG,119,Blue Bird Airways
TJD,117,Aliserio
GFA,117,Gulf Air
N22,117,
DFB,117,
DFG,116,
DIT,116,
TDR,116,Trade Air
TWI,116,Tailwind Airlines
CAZ,115,CAT Aviation
TIE,115,Time Air
FHG,115,Flying Hope
JME,111,EJME (Portugal) Aircraft Management
S5B,110,
NIA,110,Nile Air
VTB,109,Jet Stream Charter
JSY,109,Jung Sky
ALE,109,Alliance Executive Jets
DAT,109,Delta Air Transport
LXJ,108,Flexjet
MLW,108,
BCY,107,Cityjet
RZO,107,Azores Airlines
DIR,107,Flyyo
TYW,105,Tyrol Air Ambulance
PAC,105,Polar Air Cargo
9AJ,104,
ETH,103,Ethiopian Airlines
CTM,103,Commandement du Transport Aerien Militaire Francais
GAV,102,Global Reach Aviation
LYX,102,SmartLynx Airlines Malta
N52,101,
FYG,101,Flying Service
BID,100,Binair
DFT,99,Skydrift Aircharter
FTY,99,Fly Tyrol
DEU,99,
ALK,98,SriLankan Airlines
CJT,98,Cargojet Airways
OEI,95,
RJA,95,Royal Jordanian
N71,95,
DID,95,
DFS,95,Dwyer Aircraft Sales
DEG,93,
VCJ,92,Avcon Jet Malta
AAO,92,Alpha Aviation
HBV,91,
EUW,91,EFS European Flight Service
LNX,90,London Executive Aviation
DEK,88,AviaStar
DEH,88,
CND,88,Corendon Dutch Airlines
LHB,87,Liebherr-Aviation
ABF,86,Scanwings
N51,85,
GFD,85,Gesellschaft Fur Flugzieldarstellung
OKN,85,
ATI,85,Art Avia
DHH,84,
FLJ,84,Flexjet Operations
SKV,83,Skyside
SUS,83,Sun Air of Scandinavia
DBE,83,Danube-Air
SUI,83,Swiss Air Force
DOR,83,General Atomics Aerotec Systems
T7B,82,
ELJ,80,Elite Jet
EDL,79,Polizeihubschrauberstaffel Bayern
VLJ,79,Valljet
FXT,78,Flexflight
DCN,78,"Federal Armed Forces, Federal Republic of Germany"
TWG,78,Air-Taxi Europe
S5C,77,
DGJ,77,DigaJet
DFK,77,
BBB,76,Balair
OOM,76,Zoom Airlines
N98,75,
JBC,74,Jetbee Czech
DCV,74,Discover Air
PNC,74,Prince Aviation
HUE,74,Haute Aviation
GAM,74,German Army
DGF,73,
N90,73,
AEG,73,Airest
MYJ,72,My Jet
TOM,72,TUI Airways
FRC,72,Franconia Air Service
JPV,71,Jet Pool Network
N66,71,
T7C,70,
DOV,70,Dove Air
N27,69,
SFS,69,Swiss Flight Services
OKA,69,Okay Airways
DEC,69,Deltacraft
N15,68,
N80,67,
IGA,67,SkyTaxi
SIO,67,Sirio
PVG,66,Privilege Style
QFX,66,SPARFELL Malta
GDK,65,Goldeck-Flug
MOC,64,Aero Marat
OOA,64,
ADZ,64,Compass Air Cargo
KLJ,63,KlasJet
SWN,63,West Atlantic Sweden
CVK,63,Cavok Air
PHC,62,Petroleum Helicopters de Colombia
GCK,62,Glock Aviation
LYL,62,
IGT,61,Georgian Airlines
EJM,60,Executive Jet Management
N11,59,
PGC,59,European Aircraft Private Club (EAPC)
ABD,59,Air Atlanta Icelandic
N77,59,
LRQ,59,
SAZ,59,Swiss Air-Ambulance
HBI,58,CHC Denmark APS
VLZ,58,Volare Aviation
OKM,57,
PEA,57,Pan Europeenne Air Service
BHZ,57,BHS Aviation
OED,57,Orion Air Charter
N17,56,
NTF,56,OK Business Aircraft
CAT,56,Copenhagen Airtaxi
CFC,56,Canadian Armed Forces
N14,55,
PHT,55,PanJet
JAF,55,TUI fly Belgium
DCO,55,Distribuidora Y Comercializadora Jaz
ULC,54,Albinati Aviation
N85,54,
BZE,54,Zenith Aviation
LXA,54,Luxaviation
N55,54,
ASJ,54,Astonjet
NUM,54,Nomad Aviation
T7M,53,
N72,53,
N88,53,
OEK,53,
VCG,52,Catreus AOC
EDC,52,Air Charter Scotland
HBK,52,
FNK,51,IAS Itzehoer Airservice
N99,51,
TWY,51,Solaris Aviation
HBP,51,
TCA,51,Tradecraft Nigeria
CSC,51,Sichuan Airlines
GLJ,51,Global Jet Austria
9AD,50,
HAT,50,Air Horizont
FMY,50,Aviation Legere de L'armee de Terre
MDT,50,Sundt Air
N81,49,
GSM,49,Gestair Aviation Malta
N13,49,
N62,49,
OKV,49,
MAE,48,Mali Air Luftverkehr Gesellschaft
EAT,48,Air Transport
T75,48,
ABB,48,Air Belgium
N50,47,
UEE,47,United Eagle
DCR,47,Discovery Ltd
XGO,47,AirGO Private Airline
TRA,47,Transavia
DEW,47,
RES,47,Australian Maritime Safety Authority (AMSA)
N53,46,
QAV,46,QA Aviation
EAU,46,Elitavia Malta
ZSD,46,
DFM,45,
N82,45,
CNV,45,U.S. Navy Reserve Logistic Air Forces
TCS,45,Transportes de Carga Aerea Especializada
TTJ,45,Tatra Jet
PJJ,45,Paradox Jets
ALX,45,Alpi Jets
N58,44,
N65,44,
CRO,44,Crown Airways
EVE,43,iberojet
N21,43,
NCR,43,National Airlines
CLF,43,Centreline
FHJ,42,
GRB,42,Phoenix Air Group
DMR,42,Helidosa Aviation Group
N25,42,
EIS,42,E.I.S. Aircraft
DCM,42,Fltplan
JMP,41,Business Wings
BAE,41,British Aerospace
N10,41,
TAR,41,Tunisair
OHW,41,
TUA,41,Turkmenistan Airlines
NYX,40,Nyxair
HAZ,40,
OKF,40,
DEJ,40,Dana Executive Jets
,40,
VAL,40,Voyageur Airways
IXR,39,iXAir
SOP,38,Solinair
DFW,38,
SSR,37,Sardinian Sky Service
FHL,37,Fast Helicopters
N20,37,
OYC,36,Conair
TBJ,36,TAG Aviation Asia
FSE,36,Alpine Flightservice
TCK,36,Trans Caravan
OOR,36,
TEU,36,TAG Aviation
BAF,36,Belgian Air Force
LZL,36,
DFQ,36,
N67,35,
TWB,35,T'Way Airline
OKD,35,
HKH,35,Air-Invest
