ICAO,flight_count,Name
OEA,6,Orient Thai Airlines
ICL,6,Challenge Airlines IL
OAV,6,Omni - Aviacao E Tecnologia
MAD,6,Malone Aircharter
N1R,6,
BLX,6,TUIfly Nordic
JTL,6,Jet Linx Aviation
LXD,6,
LXL,6,Air Wings
N1P,6,
IXP,6,
JCB,6,J C Bamford Excavators
SXR,5,Sky Express
EFF,5,Westair Aviation
SPK,5,Solstas Lab
DMB,5,Aerorental
R08,5,
AOM,5,Air Ocena Maroc
T7P,5,
T7J,5,
MKE,5,Megantara Air
FHD,5,
CWG,5,Wing Aviation
SHJ,5,Sharjah Ruler's Royal Flight
MTN,5,Mountain Air Cargo
SPV,5,Servicios Privados de Aviacion
P4G,5,
GTR,5,Galistair
OYJ,5,
OYO,5,Oyonnair
DMA,5,Maersk Air
OE7,5,
BAH,5,The Amiri Flight - Bahrain
TRK,5,Turkish Airlines General Aviation
MDM,5,Medaiva
AZQ,5,Silk Way
DJ3,5,
MBI,5,Mountian Bird
ITE,5,Aerotaxi
DHY,5,
LXS,5,Lynx Servicios Aereos
CFY,5,
USY,5,USC
LYF,5,Lithuanian Air Force Safety Department
DGO,5,Dgo Jet
LUC,5,Albinati Aeronautics
3AM,5,
2JE,4,
YRJ,4,
WUK,4,Wizz Air UK
YRT,4,
N4C,4,
YUG,4,
ESV,4,
SLM,4,Surinam Airways
CRL,4,CorsAir
VV1,4,
XAC,4,Air Charter World
MAP,4,Altair Jets
LNL,4,
ELF,4,flyGR8
FGC,4,Departamento de Agricultura de La Generalitat de Cataluna
FGI,4,
N4F,4,
SLS,4,Super Legacy
CRV,4,Acropolis Aviation
T72,4,
SVI,4,Sky Vision Airlines
SXI,4,Southern Cross International
S5D,4,
DFN,4,
DE4,4,
DGX,4,Dasnair
LEX,4,Lexair Corporate Aviation
LEA,4,Leadair Unijet
FJK,4,Fly Jet.kz
FHT,4,
FHU,4,
FWW,4,
EIL,4,
KQA,4,Kenya Airways
SEL,4,Sentel Corporation
SEJ,4,SpiceJet
TUG,4,Turkmenhowayollary
KIN,4,Kinloss FTU
KFB,4,"Superior Transportation Associates, Inc d/b/a STAjets"
N6D,4,
9MN,4,
MYB,4,Aerolineas Del Mayab
MPI,4,Mosphil Aero
MOV,4,VIM Airlines
JIV,4,Jivair
GAT,4,Gulf Air
GBH,4,Global Avia Handling
GBO,4,Ogooue Air Cargo
CNG,4,Coastal Airways
GCC,4,GECAS
MJS,4,My Jet Saver
MJH,4,
RMX,4,Air Master
RDN,4,Red Barn Operations
LXP,4,LATAM Airlines Chile
MBE,4,Martin-Baker
JF0,4,
9HO,4,
C10,4,
NPT,4,West Atlantic UK
XED,4,Xead Aviation
AEW,4,Aegean Executive
XRC,4,Express Air Cargo
VTO,4,Air Vitosha
SUB,4,Suburban Air Freight
AHK,4,AHK Air Hong Kong
OYR,4,
ATU,4,Aerotours GmbH
OYA,4,FLY OYA
SR6,4,
DAC,4,Dominion Air
D2A,4,
OYH,4,
P4A,4,
HLR,4,Heli Air Services
TIH,4,Ion Tiriac
TCO,4,Aero Transcolombiana de Carga
AXA,4,RP Aircraft Management
HBR,4,Hebridean Air Services
PYN,4,fly wales
BBA,4,Bombardier
IMI,4,Imperial Aerotransporte
TTD,4,Servicios Aereos Interestatales
DBM,4,
DRA,4,Deer Air
DMG,4,
ECN,4,Euro Continental Air
AQS,4,Airstream
CGA,4,Congo Airways
DKA,4,Dokia Air
DJ4,4,
MSE,4,MAS Havacilik Ve Merkezi Pazarlama Tic.
IJA,4,International Jet Aviation Services
MEG,4,Megamicro
TCH,4,Transcontinental Air
PRI,4,Aero Private
PPA,4,Propheter Aviation
PLA,4,Polynesian Air-Ways
PPM,4,Pacific Pearl Airways Corporation
DII,4,
DIJ,4,
DJ2,4,
GUX,4,
GRV,4,Epsilon Aviation
VLB,4,Air Volta
GZA,4,Grenzland Air Service
VH8,4,
TCJ,4,TAG Aviation (Cayman)
HZN,4,Horizon Airlines
OEU,4,
P4E,4,
P4H,4,
GLS,4,Galaircervis
GLD,4,Golden Star Air Cargo
GMA,4,Gama Aviation
HSO,4,Heli Service International
PDY,4,Pen-Avia
PEV,4,People’s
GIZ,4,Africa Airlines
GJA,4,NorthStar Air Tours
DKR,4,Darik Sky
DKK,4,
DKI,4,
DKF,4,
OOF,4,
MJE,4,Empire Aviation Group
MIL,4,Blocked
HBY,4,
T77,3,
FLI,3,Atlantic Airways
LH1,3,
SEG,3,Eagle International
LAS,3,Skymedia
DE2,3,
MTO,3,Marathon Airlines S.A.
2KY,3,
2DE,3,
LNA,3,LNAir Air Services
SLJ,3,Slam Lavori Aerei
SMB,3,Skymark Executive
BVL,3,Bul Air
BR3,3,
4OM,3,
TYJ,3,Tyrolean Jet Services Malta
T71,3,
SWX,3,Wermlandsflyg
FLO,3,Flycom
DUB,3,Dubai Air Wing / Royal Flight
NAM,3,Government Air Transport Services
9HR,3,
T7E,3,
CBA,3,Air Navigation Services of the Czech Republic
CCD,3,Dalian Airlines
COS,3,Air 7
BCO,3,Airbus Beluga Transport
BBC,3,Biman Bangladesh Airlines
BES,3,Aero Services Executive
OHT,3,
PRP,3,PRT Aviation
MAK,3,Maklee Air
PSS,3,"RKC Progress, Air Company"
KEJ,3,Kaz Air Jet
IMY,3,
CFJ,3,Fujian Airlines
ARG,3,Aerolineas Argentinas
E7G,3,
EAA,3,Elit'Avia International
JOC,3,Just-Us Air
GCG,3,
PHZ,3,
P4U,3,
DKC,3,
V8M,3,
VHF,3,
GRA,3,Guardian Air Asset Management
HAW,3,Hawkair
OMS,3,SalamAir
TCR,3,Laneas Aereas Trans Costa Rica
HEL,3,Helicol. Helicopteros Nacionales de Colombia
P47,3,
OY0,3,
HBX,3,
AUH,3,Abu Dhabi Amiri Flight
EKT,3,European SAO
VTR,3,Traverse-Avia Service
FAC,3,Atlantic Helicopters
MNS,3,Medsky Airways
MMT,3,SAM Intercontinental Group
XAL,2,Airlines of Tasmania
2SI,2,
2OO,2,
MOT,2,Aeromonterrey
MMZ,2,EuroAtlantic Airways
ADS,2,Anderson Air
ZER,2,
VTJ,2,
5NJ,2,
FDS,2,African Medical and Research Foundation
EW6,2,
DAM,2,"DAMES, Department of aviation under the Ministry of Emergency Situaion"
DAI,2,Denair Aviation
CXB,2,Comlux Aruba
STW,2,Southwind Airlines
SSZ,2,Specsavers Aviation
ZTH,2,
YLS,2,
GST,2,Global SuperTanker Services
OYN,2,
OYL,2,
OYI,2,
HGO,2,One Air
HEY,2,ZondaJet.com
OOJ,2,
OMM,2,
OMI,2,Omni Taxi Aereo
TSM,2,Skylounge Services
TCN,2,BellAir
DM2,2,
GXL,2,Star XL German Airlines
GWY,2,USA 3000 Airlines
GVT,2,
VSR,2,Aviostart AS
VM3,2,
VM1,2,
V8O,2,
UZA,2,Constanta Airlines
DGC,2,Servicio Aereo de la Guardia Civil
DFZ,2,
MIT,2,Flight Line
GVI,2,
GSE,2,Saga
GRZ,2,Government of Zambia Communications Flight (Aircraft)
GRN,2,Grande Aviation
GPE,2,GP Express Airlines
P4R,2,
P4J,2,
GNE,2,
GML,2,G & L Aviation
OHI,2,
OHB,2,
CLH,2,Lufthansa CityLine
CHG,2,Challenge Airlines
CGN,2,Air Changan
CGL,2,Craft Avia Center Sapi de C.V.
OKW,2,Ok-Trans
IAW,2,Iraqi Airways
IAR,2,Iliamna Air Taxi
HTM,2,HTM Helicopter Travel
HOU,2,
HBN,2,Hibernian Airlines
GME,2,GM Helicopters
PAL,2,Philippine Airlines
PA7,2,
GSO,2,Global Flight Solutions
GSL,2,Geographic Air Surveys
GSH,2,Gama Aviation
PHX,2,SkyCare
GKY,2,Gama Aviation (Cayman)
GHA,2,Group Holdings Aviation
GGW,2,Duke Energy Business Services
GGJ,2,
GGI,2,
GOB,2,Dash Aviation
GNI,2,Gemini
DKS,2,
DKL,2,
PSA,2,PSA - Pacific Southwest Airlines
IKR,2,Ikaros Fly
ICA,2,Inversiones Tiryka
OHP,2,
MIG,2,"Russian Aircraft Corporation - MIG, Federal Unitary Enterprise"
MEL,2,BAe Civil Division Warton
MYS,2,Aero Yaqui Mayo
MYO,2,Dominguez Toledo (Grupo Mayoral)
BER,2,Fly Air41 Airways
BCP,2,Sybajet San Marino
MAN,2,Mannion Air Charter
MDU,2,
PRN,2,Pirinair Express
PRD,2,Presidential Aviation
PRA,2,Flyair
PPV,2,Petropavlovsk
PPO,2,
PJS,2,Jet Aviation Business Jets
QY1,2,
QY0,2,
PXR,2,PixAir Survey
DIZ,2,
9AH,2,
IPM,2,IPM Europe
INV,2,Inversia
IMO,2,Inversiones Moraima
IMA,2,Inter-Mountain Airways
ILO,2,
PSP,2,Publiservicios Aereos
DOS,2,"U.S. Department of State, INL Air Wing"
ABV,2,ASL Airlines UK
ABN,2,Air Albania
A7M,2,
A7H,2,
A6H,2,
ECO,2,EcoJet
APB,2,Air Atlantique / Air Publicité
GCY,2,CHC Global Operations International
GCL,2,Greenclose Aviation Services
MBB,2,Air Manas
B82,2,
CGG,2,Walmart Aviation
CGB,2,Air Cargo Belize
CFX,2,CFA Air Charters
CFW,2,
CFS,2,Empire Airlines
CFL,2,Bromma Air Maintenance
9HI,2,
9HD,2,
9HA,2,
DJ7,2,
MRB,2,Centre Pankh Kazakhstan
BBX,2,Bel Air Aviation
MYI,2,Mayair
MMC,2,Aermarche
MLL,2,Aeroclub de Mallorca
MLE,2,Moldaeroservice
MJN,2,Royal Air Force Of Oman
COV,2,Helicentre Coventry
CNR,2,Condor Aero Services
CMA,2,CMA CGM Air Cargo
CLY,2,Clay Lacy Aviation
GBZ,2,
GBX,2,GB Airlink
GBB,2,Global Aviation Operations
GBA,2,Gulf Air Bahrain
RAN,2,Rano Air
R72,2,
NAV,2,Nav Flight Planning
NAT,2,North Atlantic Air
NAK,2,ENAC
N1B,2,
LYD,2,Lydd Air
LYA,2,Libyan Air Ambulance
LXF,2,Lynx Air International
N2N,2,
MCN,2,Mac Dan Aviation Corporation
MCE,2,Marshall Of Cambridge
ASF,2,Austrian Air Force
FPH,2,
RSX,2,Red Sea Airlines
RKS,2,Phenix Jet
RID,2,
REV,2,RVL Aviation
ECJ,2,East Coast Jets
EAG,2,Emerald Airlines (UK)
EAF,2,Electra Airways
T7I,2,
CFF,2,Aerofan
CFA,2,China Flying Dragon Aviation
N8X,2,
N8W,2,
N8S,2,
N8K,2,
N7L,2,
KUG,2,Government of Kuwait
NOJ,2,Novajet
JSM,2,JS Aviation
T78,2,
EIH,2,
ALP,2,Allpoints Jet
ALJ,2,ALI Aero Leasing Italiana
AIA,2,Amelia
RUS,2,Sky Atlas
FX4,2,
SHA,2,Shree Airlines
FHO,2,
LNF,2,
LNB,2,
KRP,2,Carpatair
N7J,2,
N6C,2,
LHO,2,
LH3,2,
DHW,2,
TVQ,2,Smartwings Slovakia
FHB,2,
SDE,2,Air Partners Corp
EIA,2,Evergreen International Airlines
EDG,2,Jet Edge
ED6,2,
SWE,2,Svenskt Ambulansflyg
DH3,2,
UPH,2,
UPE,2,
LSM,2,Luxaviation San Marino
LNV,2,
LNS,2,Lineas Aereas Nacionales (LANSA)
FGS,2,Elitellina
FGP,2,Flying-Research Aerogeophysical Center Ltd.
CT1,2,
ERG,2,Aviaenergo
EOL,2,Airailes
FGB,2,Air 65
5NF,2,
VTT,2,Avia Trans Air Transport
XAF,2,Executive Air Fleet
XAA,2,ARINC
X38,2,
BSC,2,AeroStan
BRD,2,Bridges Air Cargo
N3A,2,
LZT,2,Lanzarote Aerocargo
FEX,2,FlightExec
MMP,2,AMP Incorporated
YUN,2,
YRW,2,
WMN,2,Trident Aircraft
WFL,2,world2fly
MYA,2,Myflug H.F.
MXM,2,Maximus Airlines
MUA,2,Murray Aviation
MTK,2,Air Metack
MSU,2,Maluti Sky
MSI,2,Motor-Sich
2JS,2,
YRC,2,
2GO,2,
5BC,2,
2CL,2,
155,1,
2CH,1,
5NL,1,
602,1,
6VJ,1,
7TV,1,
7UT,1,
02,1,
 EC,1,
ZQ3,1,
 D ,1,
127,1,
ACC,1,Airspeed Charter
DAE,1,DHL Aero Expreso
EW2,1,
F,1,
F00,1,
FDZ,1,Flight Deck Support
SJE,1,Sun Air Jets
SPC,1,Skyworld Airlines
CRR,1,Canadian Pacific Railway
SPJ,1,Air Service
EDD,1,Servicios Aereos Bio Pappel
EDF,1,
EGW,1,EGO Airways
FLT,1,Flightline
SAT,1,SATA - Air Acores
FWT,1,
RU1,1,
AJD,1,Astonjet
AJT,1,Amerijet International
FHX,1,
FIE,1,FLYONE Armenia
FJA,1,Fiji Link
FKH,1,Fly Khiva
EID,1,
DRC,1,Air Congo
RER,1,Aeroregional
RPC,1,Aeropacsa
FNN,1,Blocked
FR2,1,
FRX,1,Fort Aero
FWK,1,Flightworks
FWR,1,Flightaware
GBG,1,GullivAir
CMR,1,Cam Air Management
CNK,1,Sunwest Aviation
CNL,1,Centennial Airlines
CNT,1,Centre National D'etudes Des Telecommunications (C.N.E.T.)
GCT,1,Gulf Coast Aviation
ECL,1,Aeronautica Castellana
A7A,1,
DPO,1,
PSB,1,Syrian Pearl Airlines
PSE,1,Aeroservicio Sipse
PSF,1,Plymouth School Of Flying
PSI,1,Pont International Airline Services
PSM,1,
PV2,1,
QY3,1,
QY7,1,
PPL,1,Pluto Airlines
PRJ,1,Aero Servicios Pro-Bajio
T7U,1,
TAT,1,TAT - Transport Aérien Transrégional
TCB,1,Transcaribe Colombia - Transporte Del Caribe
DKD,1,
DKG,1,
DKO,1,
DKW,1,
GNH,1,
GNR,1,Gambia International Airlines
GKV,1,GKV-Avia
GLA,1,Great Lakes Aviation
GMS,1,Ghadames Air
GPC,1,Gulf Pearl Air Lines
GPR,1,GPM Aeroservicio
GPS,1,ABS Avia
GWW,1,Global Wings
OY9,1,
TCY,1,Twin Cities Air Service
TEM,1,Tech-Mont Helicopter Company
TO7,1,
TS6,1,
TS8,1,
TST,1,Shata Air Services
OKZ,1,
OOE,1,air Ops
HDR,1,Helitrans
HI1,1,
HBQ,1,
CGK,1,Click Airways
OFK,1,OFEK
IE3,1,
BA9,1,
IPF,1,Iraqi Prime Minister Office
ISD,1,Innovative Software Design
ISE,1,
ITA,1,Inter-Air
DIU,1,
9HG,1,
CFR,1,California Department of Forestry and Fire Prevention
CFT,1,Jet Freighters
CGD,1,"Charlotte, NC Air National Guard"
JAX,1,Janair
B32,1,
NAX,1,Norwegian
JF6,1,
NAY,1,NAYSA Servicios Aereos
NJ9,1,
NRW,1,Polizeifliegerstaffel Nordrhein-Westfalen
N8A,1,
JUM,1,Jump Aviation
JUP,1,Jump Air
9HS,1,
9HV,1,
9HX,1,
DHU,1,
DAP,1,Aerovias DAP
DBG,1,Air Dabia
DHG,1,
LH0,1,
LH4,1,
KGC,1,Air KG
KJD,1,Forces Aeriennes Algeriennes
KL9,1,
LNJ,1,
LNY,1,
N4D,1,
KZU,1,ULS Airlines Cargo
LC0,1,
DCE,1,Dutch Caribbean Airline
DCQ,1,
TYH,1,
UGJ,1,UG Jet
DGZ,1,
N3C,1,
BQ2,1,
LVK,1,
MDS,1,McNeely Charter Services
BFY,1,Bestfly Aircraft Management Aruba
BLO,1,VC Belogorie
M28,1,
MAI,1,Mauritania Airlines
BCR,1,British Charter
BEX,1,Birmingham Executive Airways
MGC,1,Air Cargo Mongolia
MGO,1,Mango MG Bird SA
MYU,1,My Indo Airlines
MYW,1,MyWay Airlines
V8B,1,
VHA,1,VH-Air Industrie
VM7,1,
MKD,1,Mat Airways
MKI,1,Mk Flugfielagid EHF
MLJ,1,
MMI,1,Marina Militare Italiana
MPV,1,
MRR,1,West Isle Air
MRT,1,Air Mauritanie
MSS,1,Global Aviation
WRC,1,WINDROSE Airlines
MNG,1,Aero Mongolia
MOE,1,Mostarez Air
31Z,1,
YRG,1,Yak Air
YRO,1,
3CE,1,
4LB,1,
